"title","artist","bpm","bsc_level","adv_level","ext_level","bsc_note","adv_note","ext_note"
"ほしふり","Sana","155","4","6","8","225","425","592"
"ポップミュージック論","ギラギラメガネ団","190","3","6","8","195","386","620"
"マインド・ゲーム","96 with メカショッチョー","180","3","7","9.2","210","433","733"
"Mother Ship","Sota Fujimori","152","4","8","9.6","292","518","740"
"万華鏡","Jimmy Weckl","138","5","8","9.6","254","508","650"
"優勢オーバードーズ","PON","166","3","6","8","176","423","694"
"ラキラキ","Mutsuhiko Izumi & S-C-U","165","3","8","10.6","220","615","759"
"Lisa-RICCIA","DJ YOSHITAKA","205","4","8","10.5","337","600","1023"
"Little Star","REDALiCE feat. Ayumi Nomiya","183","4","6","8","272","452","735"
"我が麗しのバレンシア","劇団レコード feat. Mille Face","130-150","4","5","8","272","363","565"
"枝に結ぶ願い","Akhuta","204","4","8","9.6","310","616","856"
"Energy","SAYA","170","3","6","9.6","224","378","567"
"SHION","DJ YOSHITAKA","179","4","7","9.3","338","554","875"
"DANCE ALL NIGHT","Sota Fujimori","135","3","5","9.2","245","413","846"
"Ha・lle・lu・jah","SOUND HOLIC feat. Nana Takahashi","150","3","6","9.2","216","402","711"
"FUNKY SUMMER BEACH","P*Light","175","4","7","10.1","394","645","856"
"ポチコの幸せな日常","NU-KO","192","4","7","9.5","367","637","854"
"Metric","Hommarju","123","3","6","8","238","425","861"
"Little Flipper","S-C-U","165","3","7","9.1","247","411","688"
"Resurrection","Dormir","140","2","5","8","204","394","585"
"天ノ弱[2]","164 feat. GUMI","200-205","4","7","9.8","259","557","701"
"妖隠し -あやかしかくし-","DJ TOTTO feat.3L","85","3","5","9.1","417","474","899"
"エキサイティング！！も・ちゃ・ちゃ☆","日向美ビタースイーツ♪","187","5","7","9.4","300","584","705"
"完全無欠の無重力ダイブ","日向美ビタースイーツ♪","122","2","5","7","201","397","625"
"3 A.M. ディテクティブ・ゲーム","日向美ビタースイーツ♪","162","3","6","9.1","310","502","749"
"千年ノ理","猫叉Master","153","4","7","9.6","315","527","828"
"竹取飛翔 ～ Lunatic Princess (Ryu☆Remix)","Ryu☆","171","3","6","10.4","312","441","750"
"Diargosの森","Mutsuhiko Izumi","140","4","6","9.8","272","376","544"
"twinkle noise","ZUKI","140","2","5","8","251","409","707"
"とびっきりのふわっふわ","日向美ビタースイーツ♪","110","3","5","6","213","325","425"
"走れメロンパン[2]","日向美ビタースイーツ♪","170","4","6","8","215","316","551"
"パ→ピ→プ→Yeah!","ヒゲドライバー join. shully & Nimo","160","6","8","10.1","383","614","846"
"Braid ＆ Blade","SHAMDEL","153","3","7","9.2","249","509","746"
"プレインエイジア -PHQ remix-","PHQUASE","182","5","9.1","10.4","422","681","847"
"prop the world","S-C-U","130","4","7","9.7","271","518","774"
"ぽかぽかレトロード","日向美ビタースイーツ♪","178","4","6","9.0","345","469","741"
"ほおずき程度には赤い頭髪","Akhuta","174","3","8","10.4","327","679","933"
"ホメ猫☆センセーション","P*Light feat. mow*2","200","4","7","9.3","389","631","875"
"Russian Caravan Rhapsody","Power Of Nature","158","4","7","10.1","307","485","845"
"運命","No.5 Orchestra","198-299","4","6","10.0","257","522","810"
"KHAMEN BREAK -SDVX Infinity MashUp-","くふおー effected by Megacycle","180","4","8","10.3","490","684","1050"
"がんばれゴエモン　～ ビーストメドレー ～","96","113-190","2","6","8","188","370","526"
"GRADIUS Ⅱ　～ ビーストメドレー ～","Sota Fujimori","190","2","6","9.4","271","417","648"
"Grand Chariot","xi","191","3","6","10.4","216","451","833"
